Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13587235,The Impossible Will Take a Little While: Perseverance and Hope in Troubled Times,Paul Rogat Loeb,"Loeb, Paul Rogat",,"=""0465031730""","=""9780465031733""",0,4.15,Basic Books,Paperback,496,2014,2004,,2018/12/04,,,read,,,,1,,,0,,,,,
23995360,Superforecasting: The Art and Science of Prediction,Philip E. Tetlock,"Tetlock, Philip E.",Dan Gardner,"=""0804136696""","=""9780804136693""",0,4.10,Crown,Hardcover,352,2015,2015,,2018/12/04,,,read,,,,1,,,0,,,,,
22668729,Hooked: How to Build Habit-Forming Products,Nir Eyal,"Eyal, Nir",,"=""1591847788""","=""9781591847786""",0,4.06,Portfolio,Hardcover,256,2014,2013,,2018/12/04,,,read,,,,1,,,0,,,,,
33313,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,"Bourdain, Anthony",,"=""0060899220""","=""9780060899226""",0,4.05,Ecco/Harper Perennial,Paperback,312,2007,2000,,2018/11/28,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
17662910,Digital Disconnect: How Capitalism is Turning the Internet Against Democracy,Robert W. McChesney,"McChesney, Robert W.",,"=""""","=""9781565588678""",0,3.97,The New Press,Hardcover,320,2013,2013,,2018/11/25,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
27213329,Grit,Angela Duckworth,"Duckworth, Angela",,"=""1443442313""","=""9781443442312""",0,4.07,Collins,Hardcover,352,2016,2016,,2018/11/25,,,read,,,,1,,,0,,,,,
227113,Walking,Henry David Thoreau,"Thoreau, Henry David",,"=""1596058811""","=""9781596058811""",0,3.91,Cosimo Classics,Paperback,60,2006,1862,,2018/11/22,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
13530973,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400067820""","=""9781400067824""",0,4.08,Random House,Hardcover,426,2012,2012,,2018/11/22,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
588138,The Hero With a Thousand Faces,Joseph Campbell,"Campbell, Joseph",,"=""0691017840""","=""9780691017846""",0,4.21,Princeton University Press,Paperback,416,1972,1949,,2018/11/22,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
30556551,Nobody Wants to Read Your Sh*t: Why That Is And What You Can Do About It,Steven Pressfield,"Pressfield, Steven",Shawn Coyne,"=""""","=""""",0,4.19,Black Irish Entertainment LLC,Kindle Edition,191,2016,2016,,2018/11/22,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
28186015,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,"=""0553418815""","=""9780553418811""",0,3.87,Crown,Hardcover,259,2016,2016,,2018/11/22,,,read,,,,1,,,0,,,,,
240592,The Open Society and Its Enemies,Karl Popper,"Popper, Karl",,"=""0415282365""","=""9780415282369""",0,4.21,Routledge,Hardcover,920,2002,1956,,2018/11/22,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
23316526,"The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies",Erik Brynjolfsson,"Brynjolfsson, Erik",Andrew McAfee,"=""0393350649""","=""9780393350647""",0,3.95,W. W. Norton  Company,Paperback,336,2016,2014,,2018/11/22,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
26114480,Modern Monopolies: What It Takes to Dominate the 21st Century Economy,Alex Moazed,"Moazed, Alex",Nicholas L. Johnson,"=""1250091896""","=""9781250091895""",0,4.13,St. Martin's Press,Hardcover,272,2016,2016,,2018/11/22,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""1590302257""","=""9781590302255""",0,3.97,Shambhala,Paperback,273,2005,-500,,2018/11/22,,,read,,,,1,,,0,,,,,
7669,Timeline,Michael Crichton,"Crichton, Michael",,"=""0099244721""","=""9780099244721""",0,3.84,Arrow Books,Mass Market Paperback,489,2000,1999,,2018/11/22,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
35696171,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,"Pinker, Steven",,"=""0525427570""","=""9780525427575""",0,4.23,Viking,Hardcover,576,2018,2018,,2018/11/22,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
17573685,The Feminine Mystique,Betty Friedan,"Friedan, Betty","Anna Quindlen, Gail Collins","=""0393346781""","=""9780393346787""",0,3.87,W. W. Norton  Company,Paperback,592,2013,1963,,2018/11/22,,,read,,,,1,,,0,,,,,
18736925,Capital in the Twenty-First Century,Thomas Piketty,"Piketty, Thomas",Arthur Goldhammer,"=""067443000X""","=""9780674430006""",0,4.04,Belknap Press: An Imprint of Harvard University Press,Hardcover,685,2014,2013,,2018/11/22,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
172793,The House of Morgan,Edwin P. Hoyt,"Hoyt, Edwin P.",,"=""0584001282""","=""9780584001280""",0,4.00,,,,,,,2018/11/22,,,read,,,,1,,,0,,,,,
